H_ID,Title,Description
H1,Education and vaccine orientation,"Higher education is associated with stronger beliefs in the importance of vaccines, higher 5C Confidence, and higher COVID/flu vaccination uptake."
H2,Age and preventive orientation,"Older respondents exhibit higher influenza vaccination, higher perceived severity if infected, and stronger endorsement of protective behaviours such as masking and staying home when ill."
H3,Income constraints and uptake,"Lower-income respondents report more practical barriers (higher Constraints, lower booking self-efficacy, lower ease of reaching a hub) and show slightly lower booster/flu vaccination uptake."
H4,Urbanicity exposure and vaccination,"Urban residents have more daily contacts, higher COVID infection probability, and slightly higher vaccination uptake compared to rural/peri-urban respondents."
H5,Minority status and institutional trust,"Respondents belonging to minority groups show lower trust in political institutions for vaccine information, while maintaining similar or only slightly lower trust in medical institutions, with possible implications for vaccination attitudes."
H6,Political orientation and progressive attitudes,"Left/green/liberal respondents score higher on the Progressive Attitudes Index (climate, vaccines, LGBT rights, immigration) and support protective behaviours more than conservative respondents."
H7,Political orientation and institutional trust,"Left-leaning respondents show higher trust in government and health institutions regarding vaccination information and stronger support for mandates; right-leaning and no-orientation respondents show lower trust."
H8,Individualising moral foundations and pro-health stances,"Higher Care/Fairness scores are associated with stronger climate concern, higher vaccine importance, and greater support for protective health measures."
H9,Binding moral foundations and authority-based policies,"Higher Loyalty/Authority/Purity scores predict more conservative social attitudes but stronger support for authority-based measures such as vaccination mandates."
H10,Purity and disease/vaccine emotions,"Higher Purity scores are associated with higher fear of severe disease and simultaneously higher fear of vaccines, producing ambivalent but precautionary attitudes."
H11,Informational media use and vaccine confidence,"Higher Informational Media Index use (Wikipedia, news, informational YouTube, podcasts) predicts greater factual knowledge of vaccine-preventable diseases, higher vaccine confidence, and higher uptake."
H12,Social media intensity and heterogeneous confidence,"Higher Social Media Index scores predict greater dispersion in vaccine confidence, lower trust in institutions, and higher reliance on peers/influencers for information."
H13,Vaccine safety perceptions and institutional trust,"Respondents who consider vaccines less safe show lower trust in health institutions, GPs, and traditional media as vaccine information sources."
H14,Institutional trust and vaccination,"Higher trust in health institutions and GPs predicts higher COVID/flu vaccination uptake and support for protective behaviours and mandates."
H15,Network size and vaccine conversations,"Larger friend/colleague networks are associated with more vaccine-related discussions and higher vaccination uptake."
H16,Older cohabitants and protective behaviours,"Living with older cohabitants or maintaining close contact with elderly relatives predicts higher vaccination uptake and stronger support for protective behaviours."
H17,Conversation frequency and protective orientation,"Frequent vaccine conversations with cohabitants and friends predict higher Collective Responsibility and stronger support for protective measures."
H18,Peer trust and norm alignment,"Higher trust in peers as vaccine information sources predicts stronger alignment between perceived social norms and one’s own vaccination attitudes and behaviours."
H19,5C antecedents and vaccination,"Higher Confidence, lower Complacency, lower Constraints, and higher Collective Responsibility predict higher COVID/flu vaccination and stronger endorsement of protective behaviours."
H20,Progressive attitudes and vaccine behaviour,"Higher Progressive Attitudes Index scores predict higher vaccine importance, higher vaccination uptake, and stronger support for protective behaviours and mandates."
H21,Perceived norms and personal behaviour,"Higher progressive norms among family, friends, and colleagues predict more progressive personal attitudes and greater vaccination/protection behaviours."
H22,Opinion change and current vaccination,"Respondents who became more favourable to vaccines over time show higher current vaccine confidence and uptake, whereas those who became less favourable show lower uptake."
H23,Chronic conditions and severity perception,"Respondents with chronic conditions (or cohabitants with them) report higher perceived severity, higher disease fear, and higher COVID/flu vaccination."
H24,Serious infectious disease exposure and attitudes,"Knowing someone hospitalised or deceased from a serious non-COVID infectious disease predicts higher disease fear and stronger support for vaccination in general."
H25,Knowledge accuracy and vaccine confidence,"Greater accuracy in identifying vaccine-preventable diseases predicts higher vaccine confidence and higher uptake."
H26,Infection history and booster fatigue,"More COVID infections (especially ≥2) predict lower booster uptake and lower willingness to vaccinate, consistent with ‘natural immunity’ reasoning."
H27,Early infection timing and booster uptake,"Earlier first COVID infection (before the vaccination campaign) predicts lower uptake of subsequent booster doses."
H28,Perceived danger and willingness/protection,"Higher perceived danger of COVID at each observation point predicts higher willingness to vaccinate and stronger endorsement of protective measures."
H29,Remote work and infections,"Respondents working/studying fully remotely report fewer in-person contacts and fewer COVID infections than those attending in person."
