scenario,vax_auc,npi_auc,vax_peak,npi_peak,vax_peak_tick,npi_peak_tick,vax_onset50_tick,npi_onset50_tick,vax_persistence,npi_persistence,vax_flips,npi_flips,trust_auc,legit_auc,norm_auc,constraints_auc,danger_auc
norm_shift_campaign,2.61788,2.3852216666666672,0.17023000000000002,0.17712333333333335,20.1,19.0,13.0,13.0,0.13155999638735086,0.06609979024801982,0.1,0.0,2.8288947435128255,1.0408340855860842e-18,24.56529967208685,1.0730463770796113,-0.299258890712614
outbreak_global_incidence_strong,1.1665849999999995,1.2073183333333333,0.052040000000000086,0.05484,21.5,21.1,15.6,15.5,0.22213239331624593,0.20283217165735562,0.2,0.1,0.0322966940275712,-4.163336342344337e-18,0.5862381569790601,0.017220682791674415,2.207181869872977
outbreak_salience_global,1.132345,0.06246833333333336,0.06747,0.0027566666666666963,21.0,40.4,16.2,18.6,0.11583061879256266,0.7639844336103084,0.2,0.9,0.22961926177559783,2.0816681711721684e-18,0.6205425053390075,0.018739637081408668,2.0174064210293308
trust_repair_legitimacy,0.7969650000000001,0.016725000000000233,0.03192000000000013,0.0012233333333332356,14.2,46.0,13.0,26.0,0.41277973736509327,0.7774550792080813,0.1,4.0,0.021833872718901758,-0.22879253403206365,0.38256947366243843,0.011438927555393618,-0.03996420232862954
trust_repair_institutional,0.30689999999999973,0.16265499999999994,0.012939999999999997,0.00688333333333319,14.0,14.8,13.0,13.0,0.39015968388579897,0.4131282015006253,0.1,0.1,0.8863978952964052,-3.122502256758253e-18,0.14866509997234947,0.004491123192840618,-0.022508908766623925
access_intervention,0.10340999999999997,-0.08203999999999964,0.0065500000000000115,-0.005706666666666719,21.6,20.7,16.2,16.1,0.11212892675820889,0.03754542365314565,0.6,1.1,0.003263878432335954,-6.938893903907229e-19,0.05699430546268593,1.4149988336982604,-0.0016083642097614037
access_barrier_shock,-0.2262150000000002,0.19375166666666682,-0.014220000000000033,0.013120000000000066,20.8,21.1,16.2,16.1,0.10821085731690464,0.03867589275922053,0.4,0.8,-0.007131253874480836,1.3877787807814458e-18,-0.12449744738067899,-3.3860020329523124,0.003297672083841663
trust_scandal_institutional,-0.3028249999999999,-0.16346833333333322,-0.012490000000000024,-0.007056666666666623,14.7,14.6,13.0,13.0,0.3985608515519625,0.3856206783544326,0.3,0.3,-0.8888124186665705,2.4286128663675298e-18,-0.14647691647397956,-0.004432082852726183,0.02236112019647545
trust_scandal_legitimacy,-0.7990600000000003,-0.016009999999999976,-0.03192000000000004,-0.0013599999999999095,14.4,48.8,13.0,27.6,0.42258241793337004,0.6472893772894246,0.4,7.8,-0.022010586638938623,0.2287925340320637,-0.3858332831421985,-0.011604775278661262,0.040460599129264765
misinfo_trust_erosion_only,-1.2414750000000006,-0.07081166666666666,-0.05395000000000012,-0.0033100000000001904,13.6,37.3,13.0,14.9,0.37365811624340184,0.6730258352071731,0.5,1.0,-0.27240890335169965,0.300121117195984,-0.6266907947522148,-0.07770738560555865,-0.13201496761492132
