model,outcome,block,kind,metric,baseline_value,delta,rel_delta,block_strength,baseline_nobs,baseline_blocks,sample_strategy,variant_nobs,baseline_spec,variant_spec,lobo_bic_weight,soaking_r2,soaking_nobs
B_FLU_vaccinated_2023_2024_ENGINES,flu_vaccinated_2023_2024,controls_demography_SES,lobo,pseudo_r2,0.2153393466704534,0.047643734405272364,0.2212495539804177,medium,21099,ALL,core_fixed,21099,B_FLU_vaccinated_2023_2024_ENGINES::core,B_FLU_vaccinated_2023_2024_ENGINES::core-minus-controls_demography_SES,,0.11317192464567982,22246.0
B_FLU_vaccinated_2023_2024_ENGINES,flu_vaccinated_2023_2024,controls_demography_SES,lobo,bic,18353.42278304751,1041.3571261494471,,,21099,ALL,core_fixed,21099,B_FLU_vaccinated_2023_2024_ENGINES::core,B_FLU_vaccinated_2023_2024_ENGINES::core-minus-controls_demography_SES,0.4706085021821617,0.11317192464567982,22246.0
B_FLU_vaccinated_2023_2024_ENGINES,flu_vaccinated_2023_2024,health_history_engine,lobo,pseudo_r2,0.2153393466704534,0.006224816684803458,0.028907010172784006,negligible,21099,ALL,core_fixed,21099,B_FLU_vaccinated_2023_2024_ENGINES::core,B_FLU_vaccinated_2023_2024_ENGINES::core-minus-health_history_engine,,0.057777056875332744,22246.0
B_FLU_vaccinated_2023_2024_ENGINES,flu_vaccinated_2023_2024,health_history_engine,lobo,bic,18353.42278304751,84.12046246306272,,,21099,ALL,core_fixed,21099,B_FLU_vaccinated_2023_2024_ENGINES::core,B_FLU_vaccinated_2023_2024_ENGINES::core-minus-health_history_engine,0.03801558931948134,0.057777056875332744,22246.0
B_FLU_vaccinated_2023_2024_ENGINES,flu_vaccinated_2023_2024,trust_engine,lobo,pseudo_r2,0.2153393466704534,0.008935811305309183,0.04149641690417212,negligible,21099,ALL,core_fixed,21099,B_FLU_vaccinated_2023_2024_ENGINES::core,B_FLU_vaccinated_2023_2024_ENGINES::core-minus-trust_engine,,0.4414059532113096,22246.0
B_FLU_vaccinated_2023_2024_ENGINES,flu_vaccinated_2023_2024,trust_engine,lobo,bic,18353.42278304751,196.55942925630734,,,21099,ALL,core_fixed,21099,B_FLU_vaccinated_2023_2024_ENGINES::core,B_FLU_vaccinated_2023_2024_ENGINES::core-minus-trust_engine,0.08882883332649914,0.4414059532113096,22246.0
B_FLU_vaccinated_2023_2024_ENGINES,flu_vaccinated_2023_2024,disposition_engine,lobo,pseudo_r2,0.2153393466704534,0.007251061812601378,0.03367272133363583,negligible,21099,ALL,core_fixed,21099,B_FLU_vaccinated_2023_2024_ENGINES::core,B_FLU_vaccinated_2023_2024_ENGINES::core-minus-disposition_engine,,0.3968964424808792,22246.0
B_FLU_vaccinated_2023_2024_ENGINES,flu_vaccinated_2023_2024,disposition_engine,lobo,bic,18353.42278304751,157.62301873899196,,,21099,ALL,core_fixed,21099,B_FLU_vaccinated_2023_2024_ENGINES::core,B_FLU_vaccinated_2023_2024_ENGINES::core-minus-disposition_engine,0.07123275089351266,0.3968964424808792,22246.0
B_FLU_vaccinated_2023_2024_ENGINES,flu_vaccinated_2023_2024,vaccine_cost_engine,lobo,pseudo_r2,0.2153393466704534,0.008223552854277894,0.03818880748655231,negligible,21099,ALL,core_fixed,21099,B_FLU_vaccinated_2023_2024_ENGINES::core,B_FLU_vaccinated_2023_2024_ENGINES::core-minus-vaccine_cost_engine,,0.26893379472995793,22246.0
B_FLU_vaccinated_2023_2024_ENGINES,flu_vaccinated_2023_2024,vaccine_cost_engine,lobo,bic,18353.42278304751,180.09835444143755,,,21099,ALL,core_fixed,21099,B_FLU_vaccinated_2023_2024_ENGINES::core,B_FLU_vaccinated_2023_2024_ENGINES::core-minus-vaccine_cost_engine,0.0813897698501883,0.26893379472995793,22246.0
B_FLU_vaccinated_2023_2024_ENGINES,flu_vaccinated_2023_2024,stakes_engine,lobo,pseudo_r2,0.2153393466704534,0.021601965930601263,0.10031592583802176,small,21099,ALL,core_fixed,21099,B_FLU_vaccinated_2023_2024_ENGINES::core,B_FLU_vaccinated_2023_2024_ENGINES::core-minus-stakes_engine,,0.18614579888729177,22246.0
B_FLU_vaccinated_2023_2024_ENGINES,flu_vaccinated_2023_2024,stakes_engine,lobo,bic,18353.42278304751,489.2881692267074,,,21099,ALL,core_fixed,21099,B_FLU_vaccinated_2023_2024_ENGINES::core,B_FLU_vaccinated_2023_2024_ENGINES::core-minus-stakes_engine,0.22111835284275697,0.18614579888729177,22246.0
B_FLU_vaccinated_2023_2024_ENGINES,flu_vaccinated_2023_2024,norms_engine,lobo,pseudo_r2,0.2160671671462805,0.0007278204758270901,0.003368491777070162,negligible,21099,"controls_demography_SES,health_history_engine,trust_engine,disposition_engine,vaccine_cost_engine,stakes_engine,norms_engine",conditional_pairwise,21099,B_FLU_vaccinated_2023_2024_ENGINES::conditional+norms_engine,B_FLU_vaccinated_2023_2024_ENGINES::conditional,,,
B_FLU_vaccinated_2023_2024_ENGINES,flu_vaccinated_2023_2024,norms_engine,lobo,bic,18346.559033678535,6.863749368974823,,,21099,"controls_demography_SES,health_history_engine,trust_engine,disposition_engine,vaccine_cost_engine,stakes_engine,norms_engine",conditional_pairwise,21099,B_FLU_vaccinated_2023_2024_ENGINES::conditional+norms_engine,B_FLU_vaccinated_2023_2024_ENGINES::conditional,0.003101855001300904,,
B_FLU_vaccinated_2023_2024_ENGINES,flu_vaccinated_2023_2024,missingness,lobo,pseudo_r2,0.22167790807099697,0.006338561400543563,0.028593563768715767,negligible,21099,"controls_demography_SES,health_history_engine,trust_engine,disposition_engine,vaccine_cost_engine,stakes_engine,missingness",conditional_pairwise,21099,B_FLU_vaccinated_2023_2024_ENGINES::conditional+missingness,B_FLU_vaccinated_2023_2024_ENGINES::conditional,,,
B_FLU_vaccinated_2023_2024_ENGINES,flu_vaccinated_2023_2024,missingness,lobo,bic,18296.544498094627,56.878284952883405,,,21099,"controls_demography_SES,health_history_engine,trust_engine,disposition_engine,vaccine_cost_engine,stakes_engine,missingness",conditional_pairwise,21099,B_FLU_vaccinated_2023_2024_ENGINES::conditional+missingness,B_FLU_vaccinated_2023_2024_ENGINES::conditional,0.025704346584098956,,
