engine_label,canonical_outcome_column,canonical_block,canonical_block_label,block_column,block_column_used_in_ref
Institutional trust,institutional_trust_avg,trust_engine,Institutional trust,group_trust_vax,yes
Institutional trust,institutional_trust_avg,trust_engine,Institutional trust,institutional_trust_avg,yes
Institutional trust,institutional_trust_avg,trust_engine,Institutional trust,trust_gp_vax_info,no
Institutional trust,institutional_trust_avg,trust_engine,Institutional trust,trust_local_health_authorities_vax_info,no
Institutional trust,institutional_trust_avg,trust_engine,Institutional trust,trust_national_gov_vax_info,no
Institutional trust,institutional_trust_avg,trust_engine,Institutional trust,trust_national_health_institutions_vax_info,no
Institutional trust,institutional_trust_avg,trust_engine,Institutional trust,trust_who_vax_info,no
Group trust,group_trust_vax,trust_engine,Institutional trust,group_trust_vax,yes
Group trust,group_trust_vax,trust_engine,Institutional trust,institutional_trust_avg,yes
Group trust,group_trust_vax,trust_engine,Institutional trust,trust_gp_vax_info,no
Group trust,group_trust_vax,trust_engine,Institutional trust,trust_local_health_authorities_vax_info,no
Group trust,group_trust_vax,trust_engine,Institutional trust,trust_national_gov_vax_info,no
Group trust,group_trust_vax,trust_engine,Institutional trust,trust_national_health_institutions_vax_info,no
Group trust,group_trust_vax,trust_engine,Institutional trust,trust_who_vax_info,no
Norms,social_norms_vax_avg,norms_engine,Norms,colleagues_climate_harm,no
Norms,social_norms_vax_avg,norms_engine,Norms,colleagues_immigration_tolerance,no
Norms,social_norms_vax_avg,norms_engine,Norms,colleagues_lgbt_adoption_rights,no
Norms,social_norms_vax_avg,norms_engine,Norms,colleagues_progressive_norms_nonvax_idx,yes
Norms,social_norms_vax_avg,norms_engine,Norms,family_climate_harm,no
Norms,social_norms_vax_avg,norms_engine,Norms,family_immigration_tolerance,no
Norms,social_norms_vax_avg,norms_engine,Norms,family_lgbt_adoption_rights,no
Norms,social_norms_vax_avg,norms_engine,Norms,family_progressive_norms_nonvax_idx,yes
Norms,social_norms_vax_avg,norms_engine,Norms,friends_climate_harm,no
Norms,social_norms_vax_avg,norms_engine,Norms,friends_immigration_tolerance,no
Norms,social_norms_vax_avg,norms_engine,Norms,friends_lgbt_adoption_rights,no
Norms,social_norms_vax_avg,norms_engine,Norms,friends_progressive_norms_nonvax_idx,yes
Norms,social_norms_vax_avg,norms_engine,Norms,social_norms_vax_avg,yes
CoVax Legitimacy,covax_legitimacy_scepticism_idx,legitimacy_engine,CoVax Legitimacy,covax_legitimacy_scepticism_idx,yes
Stakes,covid_perceived_danger_T12,stakes_engine,Stakes,covid_perceived_danger_T12,yes
Stakes,covid_perceived_danger_T12,stakes_engine,Stakes,covid_perceived_danger_Y,no
Stakes,covid_perceived_danger_T12,stakes_engine,Stakes,disease_fear_avg,yes
Stakes,covid_perceived_danger_T12,stakes_engine,Stakes,flu_disease_fear,yes
Stakes,covid_perceived_danger_T12,stakes_engine,Stakes,flu_infection_likelihood_current,no
Stakes,covid_perceived_danger_T12,stakes_engine,Stakes,flu_severity_if_infected,no
Stakes,covid_perceived_danger_T12,stakes_engine,Stakes,infection_likelihood_avg,yes
Stakes,covid_perceived_danger_T12,stakes_engine,Stakes,severity_if_infected_avg,yes
Disposition (5C),fivec_low_constraints,disposition_engine,Disposition (5C),fivec_collective_responsibility,yes
Disposition (5C),fivec_low_constraints,disposition_engine,Disposition (5C),fivec_confidence,yes
Disposition (5C),fivec_low_constraints,disposition_engine,Disposition (5C),fivec_low_complacency,yes
Disposition (5C),fivec_low_constraints,disposition_engine,Disposition (5C),fivec_low_constraints,yes
Disposition (5C),fivec_low_constraints,disposition_engine,Disposition (5C),fivec_pro_vax_idx,yes
